"yes","外資系に入るための具体的ステップ 若者よ、外資系はいいぞ（その8）～少しでも興味があるならまずは動いてみよう：JBpress(日本ビジネスプレス)"
"yes","仙台で牛タンを食べるのに悩んだらここ！仙台駅の「牛たん通り」がお薦め　4店舗の個人的比較もあります。 - 鈴木です。"
"yes","PyMCがあれば，ベイズ推定でもう泣いたりなんかしない"
"yes","何かのときにすっと出したい、プログラミングに関する法則・原則一覧 - Qiita"
"yes","DISられないUIを作るために最低限守るべき5つの鉄則 - たごもりすメモ"
"yes","「多読」か「精読」か：キャリア官僚が教える速読術 : ライフハッカー［日本版］"
"yes","【ゴルフ】プロのスイング 正面スロー動画まとめ - NAVER まとめ"
"yes","食べ歩きの達人が選ぶ「東京の焼肉」10選 | 男子ハック"
"yes","Webアプリの開発でありがちな問題を「一発解消」するWebサービス10選が便利過ぎる！ | APPGIGA!!（アプギガ）"
"yes","もうシンプルアイコン探しには困りたくない！フリーのシンプルアイコンを厳選26選！ | バンクーバーのうぇぶ屋"
"yes","最近気になったハイクオリティなUIキット #5 | NxWorld"
"yes","書評 - 実践 機械学習 レコメンデーションにおけるイノベーション - よしだのブログ"
"yes","128種類のAPIから横断的に検索できる『APIs.io』 | IDEA*IDEA"
"yes","すべてのプログラマが読むべき記事10選 | POSTD"
"yes","今から統計学を学ぶならコレ！間違い無しの超良質記事まとめ10選。 | SIROKグロースハックブログ"
"yes","人探し・出欠管理・余興など、同窓会で使えるサイト10選！ | 笑屋の同窓会 blog"
"yes","Macユーザーならこれ入れとくといいよ！なアプリ（必須アプリ9選 編）"
"yes","はてブAPIでwebサービスを作りたい全ての人に向けて書きました"
"yes","GitHub実践入門、Pull Requestによる開発の変革。GitHub Kaigi 2014 － Publickey"
"yes","大学教師が新入生に薦める100冊: わたしが知らないスゴ本は、きっとあなたが読んでいる"
"yes","機械学習アルゴリズムへの招待 | POSTD"
"yes","「新入社員のための大規模ゲーム開発入門 サーバサイド編」のスライドを公開しました | 株式会社インフィニットループ技術ブログ"
"yes","恵比寿で行っておきたいグルメ15選 - Rettyグルメ"
"yes","クリック1発！現在地周辺に何人住んでるか、まで分かる「地図で見る統計」が怖い！ | APPGIGA!!（アプギガ）"
"yes","使いたいDjangoライブラリ - Qiita"
"yes","Arduino vs. Raspberry Pi：あなたにぴったりのDIYプラットフォームはどっち? | ReadWrite Japan"
"yes","GitHub Kaigiで「はてなブログチームの開発フローとGitHub」という発表をしました - Hatena Developer Blog"
"yes","怠惰のすゝめ。Dockerで環境構築・テスト・デプロイを完全自動化｜CyberZ 公式エンジニアブログ"
"yes","無料で読めるデータマイニング本が12冊も - YAMDAS現更新履歴"
"yes","Bootstrapフレームワークを使った、すごい無料HTMLテンプレート素材50個まとめPhotoshopVIP |"
"yes","人間とウェブの未来 - インフラエンジニアの僕がキーボードのすぐ隣に置いておきたい本"
"yes","Java による Web アプリケーションのプロトタイプのために最近使っている構成"
"yes","密かに噂の東京でデートに使えるお店10選 - Rettyグルメ"
"yes","名古屋の暇さえあれば訪れたい焼肉店8選 - Rettyグルメ"
"yes","東京都内の焼肉の名店15選【永久保存版】 - Rettyグルメ"
"yes","すごい無料HTMLテンプレート厳選30個まとめ 2014年5月度PhotoshopVIP |"
"yes","Pythonで一般化線形モデル - old school magic"
"yes","Githubの時間表示を元に戻すGreasemonkey | Web scratch"
"yes","Javaトラブルに備えよう"
"yes","馬場史郎 SEは自らの手で明日を切り開け！ - ピンチに強いSEは「どうしたら良いでしょうか」と言わない：ITpro"
"yes","「一冊で教養が身につく本を教えて」というリクエストに真面目に答えてみる 読書猿Classic: between / beyond readers"
"yes","【まとめ】Kindleで現在セール中の本を知ることができるページ9つ。"
"yes","女子会やデートに♡厳選！東京のルーフトップバー（屋上テラス） - NAVER まとめ"
"yes","jQuery2.xとjqPlotで棒グラフが簡単に描けるよ。 - 大人になったら肺呼吸"
"yes","ハーバードで講師をしながら世界的企業の会長として結果を出し続けた男の「超」効率仕事術４選 - ライフハックブログKo's Style"
"yes","全ての若者に送る！20代のうちに読んでおくべき8つのエントリー | creive【クリーブ】"
"yes","♨銭湯のイメージを覆す♨おしゃれな「デザイナーズ銭湯」 - NAVER まとめ"
"yes","機械学習を知識ゼロから学ぶpdf - NAVER まとめ"
"yes","アマゾンでゴルフ場の予約まで可能に--1900カ所以上で - CNET Japan"
"yes","もう資料作成で残業しない！PowerPoint（パワポ）5つの便利機能を動画で分かりやすく解説 - 2014/03/02 [schoo]"
"yes","【これは便利】YouTubeの好きな音楽を垂れ流しできるサービス：キニ速"
"yes","成長志向のエンジニアならブックマークすべきテックブログまとめ│CAREER HACK"
"yes","2014年春版：ビジネスにおけるデータ分析のプロを目指すなら揃えておくべき12冊 - 銀座で働くデータサイエンティストのブログ"
"yes","jQueryのプラグインを探す時に便利なサイトのまとめ | コリス"
"yes","ガントチャート・進捗・連絡・リソース・Todo管理までできるプロジェクト管理ツールBrabio!はすごいな！ | jMatsuzaki"
"yes","Unicodeを斬りたい - Yahoo! JAPAN Tech Blog"
"yes","レスポンシブなタブを実装できるjQueryプラグイン「Responsive-Tabs」:phpspot開発日誌"
"yes","初めてのJava EE 6──第1回 Java EEとは、どのようなフレームワークか？ - builder by ZDNet Japan"
"yes","一部リーグにも入れなかった「足の遅い」高校生が、史上最高の選手になれた理由は - ICHIROYAのブログ"
"yes","MachineLearning - 機械学習や統計に関する情報収集 - Qiita"
"yes","知っておくと効率的！コーポレートサイト制作が捗るjQuery プラグインや使い方まとめ | コムテブログ"
"yes","社会人が統計学や機械学習を学ぶなら「落下傘方式」で - 銀座で働くデータサイエンティストのブログ"
"yes","トラブルに備えるJVMオプション - 見習いプログラミング日記"
"yes","今から３分で，HTML5のドラッグ＆ドロップAPIと File APIを習得しよう（JSの実装サンプル付き） - 主に言語とシステム開発に関して"
"yes","Vim-EasyMotionでカーソル移動を爆速にして生産性をもっと向上させる - haya14busa"
"yes","実践・最強最速のアルゴリズム勉強会 第三回講義資料(ワークスアプリケーションズ & AtCoder)"
"yes","蒸し、焼き、スープも！ キャベツがたっぷり食べられるレシピ10選｜All About（オールアバウト）"
"yes","《REST思想》と《リソース指向》と《Webページ》を一緒にしてはいけない - Qiita"
"yes","実践・最強最速のアルゴリズム勉強会 第２回講義資料"
"yes","あなたのJavaコードをスッキリさせる、地味に便利な新API 10選（前編） - Taste of Tech Topics"
"yes","Javaトラブルに応じた初動対応のまとめ - 見習いプログラミング日記"
"yes","コンピュータを進化させてきた偉大なるアルゴリズムまとめ - GIGAZINE"
"yes","安く美味しくビールが飲める、それがブルーパブ [ビール] All About"
"yes","Vimの便利な画面分割＆タブページと、それを更に便利にする方法 - Qiita"
"yes","【1カ月集中講座】無線LANルーターの基礎から活用までを見直す 第1回 ～ルーターの役割や初期設定をおさらい - PC Watch"
"yes","メモリの基礎 パソコンのメモリ入門　DRAM SRAM"
"yes","「ピープルウェア」を読んだ - $shibayu36->blog;"
"yes","これまでのVimの勉強内容まとめ - Qiita"
"yes","プログラマが勉強すること - きしだのはてな"
"yes","Google先生では「なかなか教えてくれない」ニッチな情報を知れるWebサービス10選！ | APPGIGA!!（アプギガ）"
"yes","個人的に参考にしているvimrc - Qiita"
"yes","WEB業界で働きたい人必見！現場で役立つツールを一挙ご紹介 | DX.univ"
"yes","【BCG流?】『外資系コンサルの資料作成術---短時間で強烈な説得力を生み出すフレームワーク』森 秀明:マインドマップ的読書感想文"
"yes","エンジニアからディレクターに転身してから読んだ本14冊 - No Web Service No Life"
"yes","Make: Japan | 私がどのようにしてRaspberry Piタブレットを作ったか"
"yes","Web系女子がLispと出会って統計学に目覚めるまでのお話 - あんちべ！"
"yes","Closure LibraryなWebアプリを、わずか2コマンドで始めてみないか？ – Googkit入門 | ここぽんのーと"
"yes","ゲームサーバ開発現場の考え方"
"yes","なぜリスク分析のプロは仮説検定を使わないのか（ややマニア向け） - Take a Risk：林岳彦の研究メモ"
"yes","Raspberry Pi（ラズベリー・パイ）でここまで出来る！12のクールな使い方 | ReadWrite Japan"
"yes","これがプログラミングの神髄だ! ファイナルファンタジーのプログラマーが明かす秘密とLispトークバトル! - UEI shi3zの日記"
"yes","ボタン1つでみそ汁が出てくる！　マルコメから家庭用みそ汁サーバー発売 - ねとらぼ"
"yes","面接やES全てにつながる本質的な自己PRの考え方後編：ー効果的な自己PRの構造ー - 論理と情緒と情熱と。"
"yes","失敗したくない！賢い「ワイン」の選び方 - NAVER まとめ"
"yes","今まで読んで良かった本　100冊 - プログラマになりたい"
